Subj,Age,Sex,Block,Cue_L,Cue_R,Out_C,Out_I,Norm_Rev,Resp_Key,Acc,RT,FixReps
101,19,f,20,2,3,2,1,0,90,1,836.744624371022,0
101,19,f,20,4,1,1,2,0,77,1,833.419060849337,0
101,19,f,20,4,2,2,1,0,75,1,1196.93572428605,0
101,19,f,20,3,1,1,2,0,90,1,869.75513036668406,0
101,19,f,20,3,2,2,1,0,90,1,966.562948447063,0
101,19,f,20,1,4,1,2,0,75,1,962.253933353168,0
101,19,f,21,2,3,2,1,0,77,1,589.816174850057,0
101,19,f,21,1,3,1,2,0,65,1,931.7412767723,0
101,19,f,21,4,2,2,1,0,90,1,816.551266563692,0
101,19,f,21,1,3,1,2,0,75,1,791.644102822829,0
101,19,f,21,4,2,2,1,0,77,1,825.213971653284,0
101,19,f,21,2,4,2,1,0,75,1,934.687405480872,0
101,19,f,21,3,2,2,1,0,75,1,647.61191515845,0
101,19,f,21,4,1,1,2,0,75,1,888.530684715079,0
101,19,f,22,4,1,1,2,0,75,1,695.366367404858,0
101,19,f,22,3,2,2,1,0,90,1,1019.51538597586,0
101,19,f,22,3,1,1,2,0,90,1,844.020596337941,0
101,19,f,22,3,2,2,1,0,90,1,925.914522422318,0
101,19,f,22,2,4,2,1,0,65,1,964.033081161688,0
101,19,f,22,1,3,1,2,0,75,1,1117.22362384626,0
101,19,f,22,2,4,2,1,0,77,1,747.733805196731,0
101,19,f,22,1,3,1,2,0,90,1,719.562656851849,0
101,19,f,23,1,4,1,2,0,75,1,812.129658641425,0
101,19,f,23,1,4,1,2,0,75,1,760.114488493855,0
101,19,f,23,4,2,2,1,0,75,1,914.285162318265,0
101,19,f,23,1,4,1,2,0,90,1,746.071476221914,0
101,19,f,23,3,1,1,2,0,65,1,700.986047544575,0
101,19,f,23,3,1,1,2,0,65,1,879.245851421729,0
101,19,f,23,1,3,1,2,0,65,1,690.759117151174,0
101,19,f,23,3,2,2,1,0,77,1,681.242457337248,0
101,19,f,24,3,1,1,2,0,65,1,759.559070786054,0
101,19,f,24,3,2,2,1,0,75,1,712.724076332051,0
101,19,f,24,1,4,1,2,0,90,1,1002.91896153794,0
101,19,f,24,2,4,2,1,0,75,1,876.156944139439,0
101,19,f,24,2,4,2,1,0,65,1,748.697636033285,0
101,19,f,24,4,2,2,1,0,77,1,822.913214172331,0
101,19,f,24,3,2,2,1,0,65,1,674.085417205788,0
101,19,f,24,3,2,2,1,0,75,1,759.281060075409,0
101,19,f,25,4,1,1,2,0,75,1,804.518926764104,0
101,19,f,25,2,4,2,1,0,77,1,1238.74720706317,0
101,19,f,25,3,1,1,2,0,75,1,701.51701479881,0
101,19,f,25,1,3,1,2,0,65,1,910.457609856167,0
101,19,f,25,4,2,2,1,0,65,1,677.814262281572,0
101,19,f,25,2,3,2,1,0,90,1,1017.02053415556,0
101,19,f,25,1,4,1,2,0,75,1,949.971957442358,0
101,19,f,25,2,3,2,1,0,90,1,1083.8010614516,0
101,19,f,26,2,4,2,1,0,77,1,767.556482056534,0
101,19,f,26,2,3,2,1,0,77,1,777.794279318186,0
101,19,f,26,1,3,1,2,0,75,1,612.394810224941,0
101,19,f,26,4,1,1,2,0,75,1,1000.14881572315,0
101,19,f,26,2,4,2,1,0,90,1,895.554605710458,0
101,19,f,26,1,4,1,2,0,75,1,968.54343517407,0
101,19,f,26,2,3,2,1,0,65,1,791.969505153247,0
101,19,f,26,2,3,2,1,0,90,1,894.125914401229,0
101,19,f,27,1,4,1,2,0,65,1,790.648576953572,0
101,19,f,27,4,2,2,1,0,77,1,804.490250306117,0
101,19,f,27,4,2,2,1,0,65,1,674.815308519101,0
101,19,f,27,3,2,2,1,0,65,1,739.136905031046,0
101,19,f,27,1,3,1,2,0,77,1,927.494444313197,0
101,19,f,27,3,2,2,1,0,77,1,705.791618142939,0
101,19,f,27,1,4,1,2,0,90,1,822.913516029075,0
101,19,f,27,2,4,2,1,0,90,1,763.40956441345,0
101,19,f,28,3,2,2,1,0,65,1,707.755200853171,0
101,19,f,28,1,3,1,2,0,75,1,967.468822653245,0
101,19,f,28,2,3,2,1,0,65,1,587.70015412847,0
101,19,f,28,2,3,2,1,0,65,1,622.179217597477,0
101,19,f,28,1,4,1,2,0,90,1,884.791274629606,0
101,19,f,28,4,2,2,1,0,77,1,1043.65009650428,0
101,19,f,28,2,3,2,1,0,77,1,817.205391656898,0
101,19,f,28,4,1,1,2,0,65,1,695.722861052673,0
101,19,f,29,1,4,1,2,0,77,1,698.689516068953,0
101,19,f,29,4,2,2,1,0,75,1,859.459397456703,0
101,19,f,29,2,4,2,1,0,90,1,705.012524065751,0
101,19,f,29,4,1,1,2,0,77,1,699.317379563581,0
101,19,f,29,4,2,2,1,0,90,0,845.026385359233,0
101,19,f,29,1,4,1,2,0,75,1,938.635097207225,0
101,19,f,29,1,4,1,2,0,90,1,820.471187405019,0
101,19,f,29,2,4,2,1,0,75,1,1084.67071276391,0
101,19,f,30,4,1,1,2,0,77,1,802.546590188285,0
101,19,f,30,3,1,1,2,0,90,1,1157.12827311563,0
101,19,f,30,1,4,1,2,0,75,1,835.546250296829,0
101,19,f,30,2,3,2,1,0,75,1,745.090741367676,0
101,19,f,30,1,4,1,2,0,75,1,700.333431738727,0
101,19,f,30,4,1,1,2,0,65,1,834.803077255856,0
101,19,f,30,2,3,2,1,0,90,1,1126.00495891365,0
101,19,f,30,1,3,1,2,0,75,1,752.44640370056,0
101,19,f,31,3,1,1,2,0,75,1,1081.97150344949,0
101,19,f,31,3,2,2,1,0,90,1,984.394875426915,0
101,19,f,31,3,2,2,1,0,90,1,752.952618643576,0
101,19,f,31,1,3,1,2,0,90,1,985.854959910284,0
101,19,f,31,4,1,1,2,0,65,1,799.375879537365,0
101,19,f,31,4,2,2,1,0,90,1,955.841877408602,0
101,19,f,31,2,4,2,1,0,65,1,746.125508704608,0
101,19,f,31,4,1,1,2,0,77,1,741.162972232814,0
101,19,f,32,4,1,1,2,0,77,1,968.198713966558,0
101,19,f,32,4,2,2,1,0,75,1,847.628094717948,0
101,19,f,32,2,4,2,1,0,77,1,1022.72745109713,0
101,19,f,32,1,4,1,2,0,77,1,773.197292218356,0
101,19,f,32,4,1,1,2,0,65,1,760.782197171466,0
101,19,f,32,3,2,2,1,0,65,1,797.951716089301,0
101,19,f,32,1,4,1,2,0,75,1,797.861158855085,0
101,19,f,32,1,3,1,2,0,77,1,907.457750521644,0
101,19,f,33,2,4,2,1,0,75,1,773.717996317828,0
101,19,f,33,3,2,2,1,0,77,1,849.914966755932,0
101,19,f,33,3,2,2,1,0,90,1,1301.37960928732,0
101,19,f,33,3,1,1,2,0,65,1,689.180402689999,0
101,19,f,33,2,3,2,1,0,75,1,774.985797607769,0
101,19,f,33,1,4,1,2,0,77,1,825.879567329139,0
101,19,f,33,4,1,1,2,0,65,1,674.379124504412,0
101,19,f,33,1,3,1,2,0,65,1,805.646666195571,0
101,19,f,34,4,2,2,1,0,90,1,876.104722800847,0
101,19,f,34,1,3,1,2,0,77,1,676.589022893495,0
101,19,f,34,2,3,2,1,0,90,1,1095.2170083392,0
101,19,f,34,3,1,1,2,0,90,1,843.371602820298,0
101,19,f,34,1,3,1,2,0,75,1,823.186395164157,0
101,19,f,34,4,1,1,2,0,77,1,625.621901810518,0
